iter	Passed	Remaining
882	2364	313
883	2366	310
884	2369	307
885	2371	305
886	2373	302
887	2376	299
888	2378	296
889	2380	294
890	2382	291
891	2385	288
892	2387	286
893	2389	283
894	2392	280
895	2394	277
896	2397	275
897	2399	272
898	2402	269
899	2404	267
900	2407	264
901	2409	261
902	2412	259
903	2414	256
904	2416	253
905	2418	250
906	2420	248
907	2423	245
908	2425	242
909	2427	240
910	2429	237
911	2432	234
912	2434	231
913	2437	229
914	2441	226
915	2443	224
916	2446	221
917	2447	218
918	2449	215
919	2452	213
920	2454	210
921	2456	207
922	2458	205
923	2460	202
924	2462	199
925	2465	197
926	2467	194
927	2469	191
928	2472	188
929	2474	186
930	2476	183
931	2479	180
932	2481	178
933	2483	175
934	2485	172
935	2488	170
936	2490	167
937	2492	164
938	2495	162
939	2497	159
940	2500	156
941	2502	154
942	2505	151
943	2507	148
944	2509	146
945	2512	143
946	2514	140
947	2517	138
948	2519	135
949	2521	132
950	2524	130
951	2526	127
952	2528	124
953	2530	122
954	2533	119
955	2535	116
956	2537	114
957	2539	111
958	2542	108
959	2544	106
960	2546	103
961	2549	100
962	2551	98
963	2553	95
964	2556	92
965	2558	90
966	2561	87
967	2563	84
968	2565	82
969	2568	79
970	2570	76
971	2572	74
972	2574	71
973	2577	68
974	2579	66
975	2582	63
976	2584	60
977	2587	58
978	2589	55
979	2591	52
980	2594	50
981	2596	47
982	2598	44
983	2601	42
984	2604	39
985	2606	37
986	2609	34
987	2611	31
988	2614	29
989	2616	26
990	2619	23
991	2621	21
992	2624	18
993	2626	15
994	2628	13
995	2631	10
996	2633	7
997	2635	5
998	2638	2
999	2640	0
